"","0","1","2","3","4"
"0","0018501","北海道","札幌市北区","北二十九条西","2丁目1番1号"
"1","0018521","北海道","札幌市北区","北十条西","1丁目12-3創生ビル1F101"
"2","0018555","北海道","札幌市北区","北十五条西","5丁目1番5号"
"3","0018577","北海道","札幌市北区","新琴似7条","11丁目5番28号"
"4","0018588","北海道","札幌市北区","北二十二条西","2丁目1番30号"
"5","0018612","北海道","札幌市北区","北二十四条西","6丁目1番1号"
"6","0028501","北海道","札幌市北区","あいの里五条","3丁目1-3"
"7","0028502","北海道","札幌市北区","あいの里五条","3丁目1-5"
"8","0028503","北海道","札幌市北区","あいの里五条","3丁目1-6"
"9","0028504","北海道","札幌市北区","屯田九条","7丁目"
"10","0038501","北海道","札幌市白石区","中央二条","1丁目1番93号"
"11","0038502","北海道","札幌市白石区","流通センター","1丁目3-45"
"12","0038503","北海道","札幌市白石区","菊水三条","5丁目1番2号"
"13","0038504","北海道","札幌市白石区","菊水三条","1丁目8-20"
"14","0038505","北海道","札幌市白石区","菊水九条","1丁目"
"15","0038510","北海道","札幌市白石区","菊水四条","1丁目9番22号"
"16","0038511","北海道","札幌市白石区","中央二条","7丁目1番1号"
"17","0038515","北海道","札幌市白石区","菊水六条","3丁目1番26号"
"18","0038519","北海道","札幌市白石区","東札幌一条","1丁目1番7号"
"19","0038520","北海道","札幌市白石区","中央二条","5丁目10番5号"
"20","0038530","北海道","札幌市白石区","菊水一条","3丁目1番1号"
"21","0038531","北海道","札幌市白石区","菊水二条","1丁目8-21"
"22","0038558","北海道","札幌市白石区","東札幌二条","6丁目8番1号"
"23","0038566","北海道","札幌市白石区","流通センター","6丁目4番22号"
"24","0038567","北海道","札幌市白石区","中央二条","3丁目1番23号"
"25","0038577","北海道","札幌市白石区","東札幌三条","6丁目1-20札幌白石第一生命ビルディング3F"
"26","0038580","北海道","札幌市白石区","流通センター","6丁目4番22号"
"27","0038581","北海道","札幌市白石区","流通センター","6丁目4番22号"
"28","0038582","北海道","札幌市白石区","流通センター","6丁目4番22号"
"29","0038585","北海道","札幌市白石区","東札幌三条","3丁目7番35号"
"30","0038588","北海道","札幌市白石区","菊水三条","4丁目25"
"31","0038601","北海道","札幌市白石区","流通センター","4丁目5番1号"
"32","0038610","北海道","札幌市白石区","本通","1丁目北3-37"
"33","0038612","北海道","札幌市白石区","南郷通","1丁目南8-1"
"34","0038620","北海道","札幌市白石区","本通","20丁目北1番68号"
"35","0038630","北海道","札幌市白石区","本通","21丁目南1番10号"
"36","0038631","北海道","札幌市白石区","南郷通","15丁目北6番"
"37","0038639","北海道","札幌市白石区","流通センター","1丁目8番1号"
"38","0038640","北海道","札幌市白石区","本通","18丁目南2番17号"
"39","0038668","北海道","札幌市白石区","本通","16丁目4-25"
"40","0038701","北海道","札幌市白石区","平和通","16丁目南1番1号(札幌白石郵便局私書箱第20号)"
"41","0038702","北海道","札幌市白石区","東札幌三条","1丁目2番33(札幌白石郵便局私書箱第30号)"
"42","0048502","北海道","札幌市清田区","北野六条","1丁目4-60"
"43","0048503","北海道","札幌市清田区","北野三条","4丁目6-1"
"44","0048510","北海道","札幌市厚別区","厚別東四条","7丁目"
"45","0048512","北海道","札幌市厚別区","大谷地西","5丁目12番30号"
"46","0048518","北海道","札幌市厚別区","厚別中央二条","1丁目2-5"
"47","0048523","北海道","札幌市厚別区","厚別中央二条","2丁目1-1"
"48","0048530","北海道","札幌市厚別区","厚別東五条","1丁目3-20"
"49","0048531","北海道","札幌市厚別区","上野幌一条","5丁目1-8"
"50","0048532","北海道","札幌市厚別区","大谷地東","2丁目4番1号札幌市交通局庁舎5階"
"51","0048533","北海道","札幌市厚別区","大谷地西","2丁目3番1号"
"52","0048555","北海道","札幌市厚別区","大谷地東","2丁目4-1"
"53","0048558","北海道","札幌市厚別区","厚別中央二条","6丁目4番30号"
"54","0048567","北海道","札幌市厚別区","上野幌一条","1丁目1-1"
"55","0048577","北海道","札幌市厚別区","厚別中央二条","5丁目7番"
"56","0048585","北海道","札幌市厚別区","厚別中央一条","5丁目4-1"
"57","0048588","北海道","札幌市清田区","清田一条","1丁目2番1号"
"58","0048602","北海道","札幌市清田区","清田四条","1丁目4番1号"
"59","0048603","北海道","札幌市清田区","清田四条","1丁目4番1号"
"60","0048610","北海道","札幌市厚別区","大谷地東","2丁目1番11号"
"61","0048611","北海道","札幌市厚別区","厚別中央三条","2丁目1-1"
"62","0048612","北海道","札幌市厚別区","厚別中央一条","5丁目"
"63","0048613","北海道","札幌市清田区","平岡一条","1丁目"
"64","0048616","北海道","札幌市清田区","平岡二条","4丁目"
"65","0048618","北海道","札幌市厚別区","厚別中央2条","6丁目2番1号"
"66","0048629","北海道","札幌市厚別区","厚別中央1条","7丁目17番32号"
"67","0048631","北海道","札幌市厚別区","大谷地西","2丁目3番1号"
"68","0048641","北海道","札幌市厚別区","大谷地東","2丁目4番1号札幌市交通局庁舎2階"
"69","0048666","北海道","札幌市厚別区","厚別中央一条","5丁目1番1号"
"70","0048686","北海道","札幌市厚別区","厚別中央一条","5丁目493番76"
"71","0058501","北海道","札幌市南区","川沿十三条","2丁目1-38"
"72","0058543","北海道","札幌市南区","真駒内","17番地(自衛隊札幌病院)"
"73","0058543","北海道","札幌市南区","真駒内","17番地"
"74","0058555","北海道","札幌市南区","川沿二条","2丁目"
"75","0058585","北海道","札幌市南区","真駒内本町","1丁目1-1"
"76","0058601","北海道","札幌市南区","南沢五条","1丁目1-1"
"77","0058602","北海道","札幌市南区","南沢五条","1丁目1-1"
"78","0058612","北海道","札幌市南区","真駒内幸町","2丁目2-1"
"79","0058798","北海道","札幌市南区","川沿十四条","1丁目5番1号"
"80","0068555","北海道","札幌市手稲区","前田一条","12丁目1-40"
"81","0068561","北海道","札幌市手稲区","星置南","4丁目43番8号"
"82","0068585","北海道","札幌市手稲区","前田七条","15丁目4番1号"
"83","0068612","北海道","札幌市手稲区","前田一条","11丁目"
"84","0078501","北海道","札幌市東区","北三十六条東","23丁目6番6号"
"85","0078503","北海道","札幌市東区","丘珠町","161番地"
"86","0078505","北海道","札幌市東区","東苗穂5条","1丁目9-1"
"87","0078507","北海道","札幌市東区","東苗穂二条","3丁目2番15号"
"88","0078508","北海道","札幌市東区","東苗穂三条","2丁目2番7号"
"89","0078553","北海道","札幌市東区","東苗穂五条","3丁目4番51号"
"90","0078585","北海道","札幌市東区","東苗穂十条","1丁目2番21号"
"91","0078632","北海道","札幌市東区","東苗穂二条","3丁目2-5"
"92","0078733","北海道","札幌市東区","伏古八条","2丁目7-1"
"93","0100195","秋田県","秋田市","下新城中野","字街道端西241-438"
"94","0100492","秋田県","南秋田郡大潟村","字西","4丁目88"
"95","0100493","秋田県","男鹿市","角間崎","字家ノ下452番地"
"96","0100494","秋田県","南秋田郡大潟村","字中央","1-1"
"97","0100595","秋田県","男鹿市","船川港船川","字泉台66-1(男鹿郵便局私書箱第6号)"
"98","0101292","秋田県","秋田市","雄和椿川","字奥椿岱193番地2"
"99","0101492","秋田県","秋田市","上北手猿田","字苗代沢17番地3"
"100","0101493","秋田県","秋田市","上北手猿田","字苗代沢17番地3"
"101","0108501","秋田県","秋田市","東通仲町","4-2"
"102","0108502","秋田県","秋田市","手形学園町","1-1"
"103","0108504","秋田県","秋田市","山王","7丁目1-1"
"104","0108505","秋田県","秋田市","中通","2丁目6番1号"
"105","0108506","秋田県","秋田市","東通仲町","4番1号"
"106","0108507","秋田県","秋田市","旭北錦町","5-50シティビル秋田2F"
"107","0108511","秋田県","秋田市","卸町","4丁目9番5号"
"108","0108515","秋田県","秋田市","下北手桜","字守沢46番1"
"109","0108518","秋田県","秋田市","南通築地","15-36"
"110","0108520","秋田県","秋田市","楢山登町","1-20"
"111","0108525","秋田県","秋田市","下北手桜","字守沢8番地1"
